,CPI,trade_balance_perc_of_gdp,life_expectancy,inflation_annual_perc,gini_index,democracy_index,childmor_0_5_per_1000,cellphone_per_100,avrg_daily_income,gender_inequality_ind,press_freedom_index,political_stability,ethnic_div_index,linguistic_div_index,religious_div_index,rural_population_ratio,unemployment_perc_tot_labor,pop_percent_with_sanitation,undernourishment_prevalence_perc,population,fertility_rate
1055,96.0,4.16,79.6,0.921,28.0,92.5,3.64,108.0,50.4,0.077,99.5,1.50111103057861,0.1315,0.1412,0.2531,16.963,7.72,99.448135,2.5,5266249.0,1.84
1056,96.0,-16.7,81.7,8.62,30.3,97.1,3.07,99.3,58.2,0.107,99.5,1.45382654666901,0.0798,0.082,0.1913,6.84099999999999,2.83,98.790146,2.5,304086.0,2.09
1057,96.0,-0.386,80.0,2.69,32.5,90.1,6.46,91.0,38.5,0.174,95.0,1.25449228286743,0.3969,0.1657,0.811,13.6,3.86,100.0,2.5,4179986.0,2.09
1058,95.0,4.09,78.5,2.08,25.9,95.2,4.65,107.0,54.6,0.056,95.0,1.0467928647995,0.0819,0.1049,0.2333,13.902,3.9,99.59724,2.5,5457863.0,1.85
1060,92.0,6.78,81.1,1.76,26.4,98.8,3.45,106.0,43.8,0.047,96.0,1.29393398761749,0.06,0.1968,0.2342,15.57,7.07,99.06305,2.5,9104724.0,1.87
1061,91.0,6.97,81.9,2.15,33.9,90.2,4.94,99.5,71.9,0.073,97.5,1.26811742782593,0.5314,0.5441,0.6083,26.496,3.99,99.88106,2.5,7475014.0,1.44
1062,88.0,17.4,80.5,8.73,26.4,95.5,3.86,104.0,55.1,0.074,98.0,1.25270569324493,0.0586,0.0673,0.2048,22.05,3.4,98.06615,2.5,4661081.0,1.9
1063,87.0,-1.85,81.5,5.12,34.2,90.9,5.59,96.5,54.5,0.134,91.0,0.934466600418091,0.0929,0.3349,0.8211,15.3,4.78,99.99115,2.5,20467032.0,1.89
1064,87.0,8.59,80.0,2.56,30.0,96.6,5.15,106.0,55.2,0.061,99.5,0.902736186981201,0.1054,0.5143,0.7222,16.364,5.0,97.89223,2.5,16325679.0,1.72
1065,86.0,3.6,80.1,1.89,29.6,86.9,4.76,112.0,57.0,0.119,95.5,1.07445085048676,0.1068,0.1522,0.4146,41.468,5.24,99.9929,2.5,8267771.0,1.41
1067,86.0,-1.93,79.5,3.0,34.6,80.8,5.92,115.0,53.1,0.199,93.5,0.667080104351044,0.1211,0.0532,0.6944,19.801,5.35,99.1232,2.5,60803700.0,1.8
1068,85.0,2.75,80.7,2.57,33.8,90.7,5.98,57.6,57.2,0.135,95.5,1.03495657444,0.7124,0.5772,0.6958,19.787,6.32,99.750336,2.5,32531864.0,1.6
1070,80.0,5.42,79.9,0.397,31.3,88.2,4.61,106.0,57.2,0.105,94.5,1.02506959438324,0.1682,0.1642,0.6571,23.821,10.25,99.22177,2.5,81177816.0,1.36
1071,76.0,1.3,82.8,-0.862,33.9,81.5,3.63,78.0,43.3,0.138,87.5,1.13833451271057,0.0119,0.0178,0.5406,12.882,4.19,99.98073,2.5,127902168.0,1.32
1072,74.0,-0.233,80.8,2.16,29.7,80.7,4.47,84.8,46.8,0.157,91.0,0.595505774021149,0.1032,0.1221,0.4029,22.623,8.45,98.65848,2.5,60919152.0,1.96
1073,74.0,8.05,79.4,3.42,32.7,90.1,4.86,111.0,50.6,0.181,99.5,1.19241058826447,0.1206,0.0312,0.155,39.262,4.41,90.141975,2.5,4234809.0,1.99
1074,73.0,4.04,79.6,2.26,28.1,81.5,4.83,93.0,51.9,0.102,96.0,0.856375813484192,0.5554,0.5409,0.2127,2.54600000000001,8.25,99.48554,2.5,10582970.0,1.78
1075,73.0,14.0,78.2,12.3,47.3,78.9,8.96,76.2,15.4,0.367,88.37,0.613005876541138,0.1861,0.1871,0.3841,13.158,9.02,95.22913,3.1,16334573.0,1.96
1077,68.0,-5.69,81.0,3.98,33.5,83.4,4.54,103.0,40.3,0.125,90.0,-0.150648653507233,0.4165,0.4132,0.4514,22.498,8.45,99.90313,2.5,44422824.0,1.37
1079,67.0,-10.1,73.3,8.98,33.7,77.4,6.5,123.0,23.0,0.221,98.0,0.736678242683411,0.5062,0.4944,0.4985,31.393,5.91,99.541985,2.5,1346711.0,1.58
1081,66.0,-7.83,79.2,3.18,38.1,81.6,4.44,116.0,31.3,0.157,97.0,0.952390611171722,0.0468,0.0198,0.1438,41.863,7.65,98.22594,2.5,10543946.0,1.4
1083,64.0,-0.048,78.3,2.22,24.4,79.6,3.99,90.4,35.7,0.127,97.0,1.08572900295258,0.2216,0.2201,0.2868,48.242,5.95,97.96817,2.5,2013577.0,1.36
1084,64.0,-1.38,75.9,7.41,45.9,79.6,13.5,70.1,18.9,0.359,86.25,0.898599565029144,0.2504,0.0817,0.3548,6.447,10.84,93.923805,3.7,3322282.0,2.14
1085,62.0,17.8,69.5,12.0,31.8,24.2,9.44,113.0,108.0,0.311,82.5,0.923421084880829,0.6252,0.4874,0.331,17.352,2.926,97.36812,8.3,4898956.0,2.07
1091,56.0,16.9,51.4,5.15,62.3,76.0,65.7,42.7,10.4,0.513,87.0,1.01710987091064,0.4102,0.411,0.5986,43.6,17.78,59.870785,22.3,1928714.0,2.95
1092,56.0,-2.93,78.2,3.09,31.1,76.0,4.57,114.0,52.7,0.133,92.5,0.53966498374939,0.0939,0.3962,0.3962,31.875,4.54,99.65755,7.5,1055445.0,1.5
1094,53.0,-34.0,74.5,10.6,33.9,39.2,22.8,71.5,15.1,0.509,72.5,-0.762317538261414,0.5926,0.0396,0.0659,19.03,14.0,98.14043,5.7,6075550.0,3.73
1095,52.0,-1.45,73.5,3.66,28.3,75.3,7.19,99.1,19.1,0.246,97.0,0.985676109790802,0.1522,0.0297,0.5244,33.105,7.49,98.024826,2.5,10057063.0,1.31
1096,51.0,-10.2,73.3,11.0,35.6,80.4,15.9,61.1,13.2,0.392,92.0,0.780889987945557,0.4634,0.4547,0.6385,58.0,9.04,92.55475,5.0,1264777.0,1.78
1097,51.0,0.601,79.3,-0.223,31.7,78.8,5.15,83.7,35.7,0.104,92.25,0.42385545372963,0.002,0.0021,0.6604,18.472,3.25,100.0,2.5,48049348.0,1.16
1098,50.0,21.8,74.4,3.98,44.8,59.8,8.0,73.4,18.1,0.278,77.75,0.288379698991776,0.588,0.597,0.6657,32.517,3.32,98.07279,3.4,26509416.0,2.25
1099,49.0,-0.821,81.3,2.12,33.7,77.3,4.34,138.0,49.2,0.142,90.1,0.5307337641716,0.1145,0.1147,0.3027,32.144,6.78,99.8858,2.5,58429904.0,1.38
1100,48.0,2.72,77.0,0.654,26.7,81.7,4.14,120.0,29.1,0.151,99.25,1.05372881889343,0.3222,0.3233,0.6591,26.467,7.15,99.13847,2.5,10304822.0,1.35
1101,48.0,41.4,78.8,16.2,34.6,30.9,11.3,49.9,78.1,0.355,83.0,0.412733107805252,0.6604,0.3444,0.6745,0.0,1.3,100.0,2.5,2363417.0,2.45
1102,48.0,-10.3,70.9,6.74,34.4,74.3,8.58,142.0,20.3,0.184,93.5,0.870995998382568,0.3223,0.3219,0.4141,33.294,5.78,87.42232,2.5,3322937.0,1.35
1103,47.0,-20.6,70.5,12.4,35.6,73.7,9.84,99.1,19.0,0.269,97.0,0.838368713855743,0.5867,0.5795,0.5556,32.033,7.03,89.075584,2.5,2203917.0,1.43
1105,46.0,-1.57,52.3,6.06,64.2,79.1,76.0,80.1,10.3,0.456,88.75,0.0470300763845444,0.7517,0.8652,0.8603,39.923,19.635,65.048134,3.5,49491764.0,2.66
1106,46.0,-1.88,75.5,3.83,37.3,30.6,21.1,70.0,10.3,0.309,46.25,0.20851244032383,0.0394,0.0124,0.0104,34.476,12.51,82.58656,4.3,10483560.0,2.0
1108,44.0,-10.5,79.7,3.5,35.1,81.3,4.31,98.9,39.0,0.176,92.0,0.630432784557343,0.1576,0.03,0.153,25.173,9.01,98.16241,2.5,11106097.0,1.42
1109,41.0,-3.19,79.1,13.0,49.4,80.4,10.4,33.0,18.5,0.346,93.33,0.736050128936768,0.2368,0.0489,0.241,33.065,5.74,95.067184,3.9,4378170.0,2.03
1110,41.0,3.9,55.3,9.41,62.1,65.4,67.3,30.6,7.61,0.51,94.0,0.782249569892883,0.6329,0.7005,0.6626,62.39,22.182,30.563282,20.1,1986568.0,3.64
1111,25.0,3.9,55.3,9.41,62.1,65.4,67.3,30.6,7.61,0.51,94.0,0.782249569892883,0.6329,0.7005,0.6626,62.39,22.182,30.563282,20.1,1986568.0,3.64
1112,40.0,-17.1,71.2,6.76,35.7,71.0,12.5,106.0,11.2,0.244,91.0,0.394421190023422,0.4021,0.3031,0.5965,29.068,8.95,85.88946,5.1,7766040.0,1.38
1113,40.0,-21.6,73.7,4.32,45.7,62.2,23.6,63.8,9.91,0.462,90.0,-0.168158024549484,0.1978,0.0,0.3559,37.813,6.57,83.50737,9.4,6034439.0,2.47
1114,39.0,-4.18,76.7,5.81,54.4,64.0,20.9,69.6,11.6,0.491,55.25,-1.90479671955109,0.6014,0.0193,0.1478,23.577,10.963,80.54541,11.4,42772912.0,2.16
1115,38.0,-3.97,77.0,9.38,39.6,57.0,23.4,75.7,14.2,0.52,75.0,-0.590213000774384,0.32,0.2216,0.0049,31.55,8.72,90.512115,2.5,69601328.0,2.24
1116,37.0,-20.5,77.5,8.85,45.3,73.4,19.8,84.6,15.7,0.434,94.5,-0.320163667201996,0.4129,0.1098,0.616,47.002,6.698,83.75696,7.7,2689658.0,2.33
1117,37.0,-2.33,75.3,1.73,34.7,73.0,7.31,95.3,17.7,0.159,86.0,0.354031831026077,0.1183,0.0468,0.1712,38.659,13.84,92.5694,2.5,38547180.0,1.32
1120,36.0,3.26,75.4,5.1,41.8,56.7,16.2,60.5,12.3,0.409,66.5,-1.13020014762878,0.6338,0.6344,0.0994,61.327,1.22,94.137535,10.6,66319528.0,1.56
1124,34.0,-8.46,76.0,3.89,31.6,70.4,6.43,99.5,32.5,0.154,87.0,0.560829281806946,0.369,0.0763,0.4447,45.517,11.13,96.276215,2.5,4417562.0,1.4
1125,33.0,2.71,73.1,6.77,55.6,73.8,23.3,52.9,15.2,0.469,82.83,-0.294911116361618,0.5408,0.0468,0.6054,16.857,9.69,78.43291,6.2,188820688.0,1.93
1126,33.0,7.59,73.7,3.93,41.6,29.7,21.9,35.1,5.45,0.258,6.0,-0.540030121803284,0.1538,0.1327,0.6643,56.132,4.43,68.04807,6.1,1313086592.0,1.57
1127,33.0,-1.62,68.9,7.36,31.5,39.0,34.4,22.3,5.88,0.573,53.75,-0.837807655334473,0.1836,0.0237,0.1979,56.927,10.49,93.117584,6.0,80629664.0,3.0
1128,33.0,-15.2,60.3,84.7,42.7,53.5,81.8,22.5,3.58,0.568,91.5,0.0063961860723793,0.6733,0.6731,0.7987,52.012,4.64,11.376543,10.6,23098590.0,4.44
1129,33.0,-3.19,65.6,8.4,34.8,76.8,71.1,14.2,3.3,0.61,73.5,-1.06518423557281,0.4182,0.8069,0.326,70.431,8.625,31.242306,19.6,1172373760.0,2.9
1130,33.0,-1.44,75.3,6.39,48.9,66.7,19.7,51.8,13.8,0.425,54.17,-0.636888444423676,0.5418,0.1511,0.1796,23.384,3.57,82.07831,4.1,106886792.0,2.46
1131,33.0,9.29,77.7,7.66,50.3,61.1,25.1,32.1,9.16,0.434,71.75,-0.841553807258606,0.6566,0.3358,0.1988,24.579,4.17,68.42084,15.7,28381080.0,2.65
1132,33.0,29.7,71.2,11.6,35.8,19.2,15.6,77.6,44.1,0.663,24.0,-0.522423803806305,0.18,0.0949,0.127,18.796,6.25,98.84155,4.5,25382870.0,3.33
1133,33.0,-15.6,63.7,2.89,39.4,53.7,87.0,26.5,3.32,0.633,82.5,-0.264316946268082,0.6939,0.7081,0.1497,57.876,10.03,43.288597,16.5,11263389.0,5.13
1134,32.0,-13.2,56.0,-0.663,41.5,37.2,145.0,7.1,2.82,0.636,84.0,0.155799552798271,0.7377,0.7228,0.5798,77.661,3.658,14.938258,17.1,14316247.0,6.19
1137,32.0,-5.41,71.0,1.45,40.7,39.0,38.1,52.0,8.27,0.55,75.17,-0.461343467235565,0.4841,0.4683,0.0035,44.254,9.67,74.12863,5.6,30833024.0,2.57
1139,31.0,26.9,73.3,10.5,29.8,31.7,32.0,62.8,8.5,0.545,60.0,-1.1264134645462,0.3394,0.4427,0.0091,35.407,12.27,86.059135,6.4,33435082.0,2.58
1140,31.0,-7.13,61.5,10.8,40.4,58.2,79.2,5.41,1.89,0.628,85.0,0.185515359044075,0.8791,0.0204,0.5191,70.575,2.935,6.66855,31.0,19350302.0,4.96
1141,31.0,1.94,66.5,14.1,37.9,31.2,108.0,34.4,5.38,0.667,82.5,0.240350216627121,0.615,0.326,0.0149,57.002,9.723,24.908005,8.8,3081228.0,5.14
1142,31.0,-5.55,78.2,1.97,54.6,73.5,22.3,64.6,17.9,0.477,90.5,-0.0679050013422966,0.5528,0.3873,0.3338,36.024,5.864,68.52437,18.5,3368577.0,2.64
1143,31.0,-12.1,72.8,10.6,39.6,70.6,16.2,76.5,8.95,0.358,86.0,0.148430079221725,0.3069,0.1723,0.2373,46.695,7.27,75.64993,2.5,20909406.0,1.4
1144,31.0,-11.0,73.6,11.3,39.7,65.8,13.6,27.2,6.86,0.433,49.25,-1.42155075073242,0.415,0.4645,0.4853,81.712,6.5,82.19374,13.2,19870706.0,2.28
1145,30.0,32.5,61.7,9.87,41.8,27.2,73.0,59.8,9.02,0.594,71.5,0.220006227493286,0.769,0.7821,0.6674,16.893,17.737,39.876354,14.8,1502540.0,4.19
1148,29.0,5.62,75.4,13.7,46.4,66.3,16.1,79.8,20.5,0.369,82.7,0.0019677628297358,0.255,0.0618,0.2236,9.8,10.08,90.39208,3.4,39476856.0,2.43
1149,29.0,-16.7,73.1,4.62,29.7,41.5,22.7,41.6,6.89,0.376,74.5,-0.261023759841919,0.1272,0.1291,0.4576,36.161,10.001,89.29363,9.3,3026490.0,1.3
1150,29.0,-27.3,75.6,7.8,33.4,57.8,8.58,46.5,21.6,0.268,95.0,-0.441336750984192,0.63,0.6751,0.6851,55.718,31.11,95.151634,2.5,4058086.0,1.29
1153,29.0,-5.94,57.3,5.51,39.8,51.8,89.2,13.8,2.43,0.592,80.18,-0.357518166303635,0.7353,0.8983,0.6334,74.522,3.3,13.196036,25.9,40562056.0,5.62
1154,28.0,-7.32,72.7,6.64,52.0,61.3,36.1,49.6,13.0,0.488,87.25,-0.109803065657616,0.4294,0.0395,0.3118,31.29,5.65,80.44719,16.4,9284169.0,2.72
1155,28.0,-24.2,71.5,8.45,36.9,49.0,21.3,43.3,5.79,0.377,79.0,-0.966098785400391,0.4923,0.4749,0.6543,46.008,13.57,88.60145,4.0,3933866.0,1.71
1156,28.0,-4.12,56.6,4.65,38.9,59.9,152.0,11.1,2.92,0.642,91.0,0.414196908473969,0.6906,0.8388,0.182,67.168,1.311,23.571354,11.9,13623541.0,6.76
1157,28.0,5.96,63.5,22.0,35.2,66.0,37.9,30.0,7.81,0.4,80.75,0.646906971931458,0.3682,0.3734,0.0799,36.465,7.127,51.050472,27.4,2581245.0,2.24
1158,28.0,-9.72,52.3,7.87,46.1,52.8,128.0,11.3,2.0,0.576,88.5,0.520101010799408,0.6932,0.8125,0.6759,69.818,3.045,16.393166,32.4,20735990.0,5.71
1159,28.0,-2.74,68.4,14.9,29.8,69.4,13.9,105.0,11.0,0.333,73.5,-0.0368776172399521,0.4737,0.4741,0.6157,32.031,6.81,95.40404,2.5,46592552.0,1.3
1160,27.0,9.01,69.3,13.7,56.7,59.8,52.5,30.1,14.9,0.54,95.5,-0.802562952041626,0.7396,0.224,0.2085,35.372,2.575,41.581383,24.6,9542663.0,3.51
1161,27.0,6.57,74.0,14.6,44.8,29.3,24.4,21.6,17.0,0.51,9.120000000000005,-1.04084002971649,0.6684,0.7462,0.1152,31.761,11.52,82.53041,5.5,71275768.0,1.81
1163,27.0,-17.0,72.3,3.25,42.6,63.3,13.1,60.7,13.7,0.184,88.5,-0.736575305461884,0.5023,0.5021,0.5899,42.617,36.03,89.6661,4.4,2081081.0,1.5
1166,26.0,-23.8,76.9,2.48,30.4,59.1,17.9,63.6,9.45,0.285,82.0,-0.508157312870026,0.2204,0.0399,0.4719,52.185,15.63,92.92141,8.8,3003391.0,1.7
1167,26.0,-17.2,68.9,4.98,54.6,60.7,40.8,53.5,12.1,0.574,78.75,-0.735238790512085,0.5122,0.4586,0.3753,52.79,3.082,63.994232,17.8,13412401.0,3.83
1168,26.0,10.5,64.8,21.6,30.2,36.2,29.1,49.1,8.21,0.348,59.0,0.207937806844711,0.6171,0.6621,0.5898,43.464,7.79,97.11996,6.3,15822751.0,2.37
1169,26.0,-5.65,62.3,10.8,34.8,21.0,82.5,17.0,4.13,0.545,32.5,-0.0852985605597496,0.5139,0.6382,0.5453,72.252,1.191,45.795082,20.6,5946597.0,3.52
1170,26.0,-24.8,74.3,7.87,47.5,56.8,24.9,33.1,7.47,0.533,84.5,-0.267819613218308,0.4844,0.0473,0.429,43.868,5.31,62.987007,22.2,5529811.0,2.62
1171,26.0,7.85,75.6,8.86,53.0,61.6,29.2,58.4,13.1,0.526,81.75,-0.776525020599365,0.1689,0.5975,0.2123,42.04,5.28,77.66458,9.7,5534682.0,2.97
1173,26.0,-2.88,72.9,8.57,35.8,27.5,24.5,22.5,5.05,0.299,32.75,0.405120253562927,0.2383,0.2377,0.508,72.112,2.086,63.604633,15.3,83951800.0,1.9
1176,25.0,-3.66,59.1,2.09,40.3,61.6,120.0,12.6,2.85,0.65,94.5,0.547892570495605,0.7872,0.7905,0.5544,58.951,0.859,11.237419,11.0,8402635.0,5.58
1177,25.0,-8.31,62.4,1.3,45.7,43.9,90.0,23.6,3.74,0.649,46.0,-0.0341241136193275,0.7864,0.8076,0.097,47.249,9.029,46.239544,20.7,1711297.0,5.81
1179,25.0,-21.0,71.1,5.35,57.5,62.5,28.1,28.9,10.3,0.474,85.5,-0.66790372133255,0.1867,0.0553,0.2357,50.755,3.57,69.759476,21.8,7745204.0,3.33
1180,25.0,1.64,70.2,5.11,47.2,64.8,33.8,48.8,6.65,0.479,49.0,-1.63867163658142,0.2385,0.836,0.3056,54.375,4.05,63.49388,13.2,87901832.0,3.43
1181,25.0,12.7,66.5,15.1,41.0,50.2,12.8,105.0,17.4,0.356,47.5,-0.908794343471527,0.2452,0.2485,0.4398,26.492,7.06,85.83567,2.5,143338672.0,1.3
1182,25.0,-11.5,60.2,2.46,51.0,38.2,98.3,3.39,2.77,0.477,59.0,-0.684061944484711,0.3238,0.0,0.5066,83.083,11.901,53.363617,33.7,9270073.0,5.02
1183,25.0,4.75,44.1,4.04,52.0,29.3,118.0,23.2,3.66,0.582,59.5,-0.270870000123978,0.0582,0.1722,0.4444,78.09,27.619,52.805588,10.2,1077747.0,3.82
1184,24.0,27.7,67.7,11.3,26.4,33.1,49.2,37.9,12.9,0.346,53.0,-1.09268236160278,0.2047,0.2054,0.4899,47.411,6.62,74.74571,2.8,8763353.0,1.82
1186,24.0,-7.76,45.6,3.33,56.9,16.1,163.0,2.56,2.77,0.694,85.5,-1.85155153274536,0.8295,0.8334,0.7916,61.807,5.292,19.545044,37.7,4294352.0,5.35
1188,24.0,5.41,68.4,14.1,34.3,64.1,40.1,27.5,3.63,0.542,74.0,-1.41766691207886,0.7351,0.768,0.234,53.262,7.55,51.630898,19.0,231797424.0,2.51
1190,24.0,-12.0,57.5,-0.509,42.2,17.5,101.0,12.1,2.54,0.63,85.0,-0.527322232723236,0.7099,0.898,0.6596,64.351,4.23,11.592248,27.2,5874244.0,5.12
1192,23.0,1.25,55.4,2.3,42.7,32.7,125.0,17.7,4.46,0.653,71.75,-0.244705229997635,0.8635,0.8898,0.7338,50.857,3.724,39.08989,14.1,17751338.0,5.31
1193,23.0,0.956,73.6,8.0,52.3,56.4,21.9,60.6,12.5,0.452,84.75,-0.853825330734253,0.655,0.1308,0.1417,38.093,3.55,75.69374,22.8,14009064.0,2.76
1197,22.0,32.3,57.0,17.1,44.9,24.1,157.0,15.2,6.72,0.628,78.5,-0.539453446865082,0.7867,0.787,0.6276,43.236,3.882,35.99128,49.3,20162338.0,6.42
1198,22.0,29.3,57.8,11.4,47.6,31.9,79.4,24.1,3.57,0.619,83.0,-0.923411786556244,0.8747,0.6871,0.6642,38.559,19.847,14.032536,36.6,3813325.0,5.03
1199,22.0,-9.27,57.5,23.5,45.9,50.8,74.0,19.9,4.16,0.64,69.75,-1.12698328495026,0.8588,0.886,0.7765,77.955,2.942,31.410572,26.1,36925260.0,4.76
1200,22.0,-37.3,67.2,9.39,37.4,40.8,37.6,24.0,6.02,0.673,66.0,-1.38557076454163,0.6752,0.5949,0.447,64.711,2.512,93.83309,9.0,5246785.0,2.65
1201,22.0,-7.41,62.3,8.87,32.2,39.2,97.3,19.4,3.89,0.614,29.67,-2.02467846870422,0.7098,0.719,0.3848,65.816,0.58,41.784733,16.4,178069984.0,4.02
1204,22.0,17.8,66.2,12.2,44.7,18.3,68.2,4.38,5.36,0.246,1.5,-0.244654402136803,0.3918,0.3984,0.2327,52.692,6.583,93.94447,4.0,4954032.0,2.65
1205,21.0,-4.17,69.5,10.7,28.3,33.4,7.83,60.4,10.4,0.158,43.0,0.148469686508179,0.3222,0.4666,0.6116,27.184,8.381,93.14255,2.5,9874700.0,1.36
1206,21.0,-7.43,64.5,4.63,41.2,47.7,60.3,12.8,3.08,0.562,72.75,-0.345979183912277,0.2105,0.2104,0.0965,80.707,1.209,26.146795,15.6,13477781.0,3.16
1207,21.0,1.99,54.4,1.36,42.6,33.8,123.0,21.0,4.05,0.667,75.0,-1.86186838150024,0.8204,0.7842,0.7551,54.348,5.932,24.034615,17.6,19394062.0,5.38
1209,21.0,5.56,65.0,23.5,35.0,18.5,46.6,9.4,1.84,0.23,29.0,-1.78465950489044,0.4125,0.412,0.2133,50.979,6.012,96.26713,12.6,26926824.0,2.46
1210,20.0,-5.41,67.8,5.88,33.0,61.1,62.4,13.4,3.87,0.637,52.0,-1.50709736347198,0.0454,0.0925,0.209,72.483,3.59,32.75984,13.8,142628832.0,2.52
1211,20.0,-0.744,53.9,9.98,41.1,16.5,165.0,4.5,2.94,0.743,64.5,-1.83175504207611,0.862,0.8635,0.6411,78.166,0.912,10.093452,38.4,10365620.0,6.99
1212,20.0,-4.56,56.7,13.3,42.1,27.6,133.0,7.56,1.19,0.664,49.0,-2.24673223495483,0.8747,0.8705,0.7021,62.029,3.087,21.550232,34.6,58381636.0,6.66
1213,20.0,-6.01,65.8,7.65,35.5,29.0,85.4,15.4,4.76,0.638,51.87,-2.13907742500305,0.7147,0.719,0.4307,67.187,14.899,23.04947,17.6,30332970.0,5.09
1215,19.0,12.4,66.6,23.0,28.6,40.1,38.9,32.3,10.7,0.62,33.17,-2.82640218734741,0.3689,0.3694,0.4844,31.181,8.654,76.153564,18.0,28905614.0,4.55
1217,18.0,-19.0,59.5,13.5,60.1,41.9,87.2,13.0,3.16,0.627,80.5,-1.39154350757599,0.095,0.0,0.4704,56.396,15.664,23.051874,51.9,9266293.0,3.67
1218,94.0,2.9,78.7,2.43,26.2,95.2,4.47,115.0,55.6,0.054,98.0,1.1181892156601,0.0819,0.1049,0.2333,13.707,3.8,99.59724,2.5,5479722.0,1.85
1219,94.0,4.79,79.7,2.75,28.3,92.5,3.51,115.0,52.3,0.071,98.5,1.48869705200195,0.1315,0.1412,0.2531,16.832,6.85,99.44813,2.5,5288694.0,1.83
1220,94.0,0.121,80.2,5.3,32.0,91.0,6.37,101.0,39.2,0.18,95.83,1.24336647987366,0.3969,0.1657,0.811,13.66,3.66,100.0,2.5,4221495.0,2.11
1222,93.0,6.06,81.3,2.83,27.1,98.8,3.32,110.0,46.5,0.047,98.5,1.27147829532623,0.06,0.1968,0.2342,15.412,6.16,99.086876,2.5,9164274.0,1.89
1223,92.0,-8.99,81.9,4.33,29.5,96.8,2.94,105.0,61.5,0.11,99.25,1.48559415340424,0.0798,0.082,0.1913,6.72199999999999,2.25,98.7886,2.5,311859.0,2.1
1224,90.0,7.09,80.3,2.07,29.6,96.0,4.95,118.0,57.9,0.054,96.5,0.778468787670136,0.1054,0.5143,0.7222,15.461,4.15,97.87052,2.5,16391232.0,1.72
1225,90.0,9.77,82.2,2.38,34.3,90.8,4.82,109.0,73.7,0.065,97.0,1.23440885543823,0.5314,0.5441,0.6083,26.47,3.64,99.88108,2.5,7541909.0,1.46
1226,87.0,2.18,80.9,3.28,33.8,90.7,5.9,61.7,59.5,0.136,95.12,1.00701069831848,0.7124,0.5772,0.6958,19.604,6.04,99.69595,2.5,32862458.0,1.62
1227,87.0,14.0,80.7,3.08,27.1,96.2,3.7,107.0,60.9,0.079,99.25,1.14555251598358,0.0586,0.0673,0.2048,21.766,2.49,98.06529,2.5,4709582.0,1.9
1228,86.0,-1.64,81.5,4.98,34.8,90.9,5.41,102.0,57.8,0.134,91.21,0.928874909877777,0.0929,0.3349,0.8211,15.178,4.38,99.99115,2.5,20830832.0,1.92
1230,84.0,-2.0,79.8,2.33,35.7,81.2,5.76,121.0,53.0,0.197,91.75,0.574654936790466,0.1211,0.0532,0.6944,19.521,5.26,99.12197,2.5,61260680.0,1.84
1232,81.0,4.39,80.3,2.22,30.6,85.9,4.65,119.0,59.3,0.114,95.75,1.284419298172,0.1068,0.1522,0.4146,41.751,4.86,99.9911,2.5,8294720.0,1.38
1233,78.0,6.77,80.0,1.77,31.3,88.2,4.49,119.0,58.0,0.105,94.25,0.995823800563812,0.1682,0.1642,0.6571,23.622,8.66,99.222374,2.5,81183832.0,1.36
1234,75.0,8.28,79.7,1.2,31.9,90.1,4.62,114.0,50.3,0.175,98.0,1.21519267559052,0.1206,0.0312,0.155,39.06,4.98,90.24529,2.5,4359841.0,1.99
1235,75.0,1.76,82.9,-0.705,34.8,82.0,3.52,83.9,43.7,0.129,88.25,1.01037454605103,0.0119,0.0178,0.5406,11.854,3.89,99.97652,2.5,128006424.0,1.33
1236,73.0,-0.714,81.1,2.56,32.4,80.7,4.4,90.3,56.9,0.137,90.25,0.563000798225403,0.1032,0.1221,0.4029,22.379,7.66,98.65774,2.5,61329380.0,1.97
1238,71.0,4.14,79.8,1.93,29.2,81.5,4.73,101.0,53.4,0.101,98.5,0.757325053215027,0.5554,0.5409,0.2127,2.495,7.46,99.48577,2.5,10653698.0,1.8
1239,70.0,13.3,78.4,5.09,47.2,78.9,8.91,84.6,15.8,0.361,87.87,0.406370878219604,0.1861,0.1871,0.3841,13.1,8.43,95.70034,3.1,16495543.0,1.95
1242,67.0,-5.78,81.2,3.42,34.1,84.0,4.36,107.0,48.1,0.128,89.75,-0.276731640100479,0.4165,0.4132,0.4514,22.26,8.23,99.9033,2.5,45245784.0,1.38
1243,67.0,-1.03,75.7,10.3,46.4,80.2,12.7,90.3,20.6,0.348,88.25,0.835530936717987,0.2504,0.0817,0.3548,6.221,9.4,94.233086,3.1,3328647.0,2.13
1244,66.0,-1.33,78.6,4.18,24.4,79.6,3.78,95.3,37.6,0.14,93.5,1.0986293554306,0.2216,0.2201,0.2868,48.017,4.82,97.97757,2.5,2023230.0,1.4
1245,65.0,-8.79,73.3,12.4,31.2,77.1,5.94,125.0,25.9,0.227,99.0,0.634109556674957,0.5062,0.4944,0.4985,31.521,4.59,99.48966,2.5,1340576.0,1.62
1246,65.0,-7.56,79.4,2.97,36.8,81.0,4.23,128.0,31.5,0.138,98.0,0.821809351444244,0.0468,0.0198,0.1438,41.251,7.97,98.369705,2.5,10565547.0,1.38
1253,57.0,7.97,70.0,12.5,32.1,25.1,9.18,132.0,93.0,0.202,79.75,0.975391387939453,0.6252,0.4874,0.331,16.977,2.86,97.505005,8.1,5872640.0,2.01
