,CPI,trade_balance_perc_of_gdp,life_expectancy,inflation_annual_perc,gini_index,democracy_index,childmor_0_5_per_1000,cellphone_per_100,avrg_daily_income,gender_inequality_ind,press_freedom_index,political_stability,ethnic_div_index,linguistic_div_index,religious_div_index,rural_population_ratio,unemployment_perc_tot_labor,pop_percent_with_sanitation,undernourishment_prevalence_perc,population,fertility_rate
3241,41.0,-3.76,70.5,3.88,35.7,72.3,36.6,85.9,4.95,0.505,56.76,-0.997705161571503,0.4182,0.8069,0.326,65.97,7.65,65.40956,13.3,1369003264.0,2.28
3242,38.0,-1.07,71.1,3.82,37.8,63.9,25.0,120.0,7.28,0.453,60.32,-0.552077412605286,0.7351,0.768,0.234,44.675,4.39,81.266106,5.9,267066848.0,2.31
3243,49.0,12.4,74.3,15.2,35.5,19.3,7.06,118.0,48.7,0.287,36.87,-0.660840630531311,0.18,0.0949,0.127,16.156,6.03,100.0,3.8,35018132.0,2.45
3244,49.0,-17.7,77.9,2.27,34.1,39.3,16.1,83.5,13.7,0.449,58.29,-0.379783809185028,0.5926,0.0396,0.0659,9.021,18.26,97.239525,11.2,10459864.0,3.24
3245,73.0,28.5,82.0,1.08,31.4,91.5,3.66,103.0,54.1,0.084,85.41,1.01116824150085,0.1206,0.0312,0.155,36.83,5.74,91.361206,2.5,4834506.0,1.98
3247,52.0,2.4,83.1,1.07,35.9,77.1,3.03,139.0,48.0,0.057,75.88,0.326139509677887,0.1145,0.1147,0.3027,29.562,10.61,99.885284,2.5,59877432.0,1.5
3248,44.0,-12.9,76.3,4.99,45.3,70.2,14.4,105.0,15.3,0.366,88.67,0.423851728439331,0.4129,0.1098,0.616,44.326,5.47,86.49974,8.1,2811842.0,1.98
3249,73.0,0.02,84.8,-0.00024,32.9,79.9,2.49,142.0,52.5,0.087,71.36,1.03735864162445,0.0119,0.0178,0.5406,8.384,2.47,99.93019,2.5,126255872.0,1.48
3250,52.0,12.0,73.6,11.7,36.5,30.4,11.4,140.0,33.9,0.328,59.33,0.642036437988281,0.4373,0.3567,0.4322,15.461,1.8,99.31981,7.9,4601160.0,2.52
3251,31.0,11.7,71.7,9.21,27.8,29.4,9.91,141.0,12.4,0.173,45.59,-0.0526988133788109,0.6171,0.6621,0.5898,42.572,4.85,97.871895,2.5,18538100.0,2.57
